%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y1-Y	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny =  129
%
% Date File Created: November 5, 2007
%
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  1.00644E+00    5.80345E-02    6.56298E-01    1.54305E-02    1.46361E-03    3.90056E-03   -1.97290E-03
  1.00644E+00    6.22092E-02    6.67695E-01    1.48508E-02    1.59644E-03    3.96895E-03   -2.01904E-03
  1.00644E+00    6.65241E-02    6.78222E-01    1.42534E-02    1.72340E-03    4.03298E-03   -2.05823E-03
  1.00644E+00    7.09785E-02    6.87937E-01    1.36642E-02    1.84368E-03    4.09351E-03   -2.08921E-03
  1.00644E+00    7.55718E-02    6.96905E-01    1.30917E-02    1.95660E-03    4.14947E-03   -2.11283E-03
  1.00644E+00    8.03031E-02    7.05226E-01    1.25373E-02    2.06110E-03    4.20124E-03   -2.13072E-03
  1.00644E+00    8.51719E-02    7.13020E-01    1.20074E-02    2.15601E-03    4.25022E-03   -2.14427E-03
  1.00644E+00    9.01773E-02    7.20399E-01    1.15123E-02    2.24036E-03    4.29456E-03   -2.15568E-03
  1.00644E+00    9.53187E-02    7.27434E-01    1.10617E-02    2.31421E-03    4.33105E-03   -2.16618E-03
  1.00644E+00    1.00595E-01    7.34169E-01    1.06492E-02    2.37829E-03    4.35969E-03   -2.17574E-03
  1.00644E+00    1.06006E-01    7.40677E-01    1.02578E-02    2.43313E-03    4.38088E-03   -2.18319E-03
  1.00644E+00    1.11550E-01    7.47042E-01    9.88318E-03    2.47915E-03    4.39422E-03   -2.18561E-03
  1.00644E+00    1.17228E-01    7.53317E-01    9.53039E-03    2.51679E-03    4.40157E-03   -2.18173E-03
  1.00644E+00    1.23037E-01    7.59529E-01    9.20706E-03    2.54652E-03    4.40498E-03   -2.17335E-03
  1.00644E+00    1.28977E-01    7.65678E-01    8.91608E-03    2.56984E-03    4.40276E-03   -2.16240E-03
  1.00644E+00    1.35047E-01    7.71755E-01    8.64148E-03    2.58860E-03    4.38628E-03   -2.14879E-03
  1.00644E+00    1.41246E-01    7.77755E-01    8.36608E-03    2.60358E-03    4.34898E-03   -2.13340E-03
  1.00644E+00    1.47573E-01    7.83656E-01    8.09732E-03    2.61468E-03    4.29264E-03   -2.11633E-03
  1.00644E+00    1.54028E-01    7.89418E-01    7.85042E-03    2.62257E-03    4.22774E-03   -2.09818E-03
  1.00644E+00    1.60609E-01    7.95015E-01    7.62778E-03    2.62699E-03    4.16664E-03   -2.08044E-03
  1.00644E+00    1.67316E-01    8.00453E-01    7.41679E-03    2.62524E-03    4.11588E-03   -2.06190E-03
  1.00644E+00    1.74146E-01    8.05780E-01    7.20103E-03    2.61578E-03    4.07601E-03   -2.04013E-03
  1.00644E+00    1.81100E-01    8.11057E-01    6.98449E-03    2.60112E-03    4.04246E-03   -2.01404E-03
  1.00644E+00    1.88177E-01    8.16309E-01    6.77510E-03    2.58474E-03    4.01127E-03   -1.98524E-03
  1.00644E+00    1.95374E-01    8.21517E-01    6.56770E-03    2.56893E-03    3.98340E-03   -1.95541E-03
  1.00644E+00    2.02691E-01    8.26641E-01    6.36283E-03    2.55588E-03    3.95833E-03   -1.92399E-03
  1.00644E+00    2.10128E-01    8.31687E-01    6.17365E-03    2.54673E-03    3.93100E-03   -1.89320E-03
  1.00644E+00    2.17682E-01    8.36694E-01    6.00639E-03    2.53916E-03    3.89594E-03   -1.86551E-03
  1.00644E+00    2.25353E-01    8.41676E-01    5.86113E-03    2.53038E-03    3.85246E-03   -1.84159E-03
  1.00644E+00    2.33140E-01    8.46590E-01    5.73293E-03    2.51988E-03    3.80042E-03   -1.82127E-03
  1.00644E+00    2.41041E-01    8.51392E-01    5.61502E-03    2.50798E-03    3.73750E-03   -1.80307E-03
  1.00644E+00    2.49055E-01    8.56125E-01    5.50606E-03    2.49448E-03    3.67328E-03   -1.78190E-03
  1.00644E+00    2.57182E-01    8.60872E-01    5.41188E-03    2.47936E-03    3.61796E-03   -1.75775E-03
  1.00644E+00    2.65419E-01    8.65647E-01    5.32763E-03    2.46215E-03    3.56697E-03   -1.73246E-03
  1.00644E+00    2.73765E-01    8.70399E-01    5.24893E-03    2.44177E-03    3.51041E-03   -1.70561E-03
  1.00644E+00    2.82220E-01    8.75057E-01    5.17201E-03    2.41817E-03    3.44106E-03   -1.67748E-03
  1.00644E+00    2.90782E-01    8.79573E-01    5.09050E-03    2.39161E-03    3.35825E-03   -1.64821E-03
  1.00644E+00    2.99450E-01    8.83950E-01    4.99956E-03    2.36237E-03    3.27039E-03   -1.61647E-03
  1.00644E+00    3.08222E-01    8.88179E-01    4.90973E-03    2.33083E-03    3.18887E-03   -1.58215E-03
  1.00644E+00    3.17097E-01    8.92170E-01    4.82785E-03    2.29647E-03    3.11158E-03   -1.54909E-03
