%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  1.00644E+00    5.31145E-03    7.47778E-02    2.13672E-03    1.23528E-05    7.57234E-04   -3.90338E-05
  1.00644E+00    5.76892E-03    8.14465E-02    2.49312E-03    1.49750E-05    8.54441E-04   -4.88150E-05
  1.00644E+00    6.25932E-03    8.86215E-02    2.91093E-03    1.83494E-05    9.59321E-04   -6.16845E-05
  1.00644E+00    6.78503E-03    9.63394E-02    3.40045E-03    2.26248E-05    1.07247E-03   -7.82667E-05
  1.00644E+00    7.34860E-03    1.04613E-01    3.92520E-03    2.72077E-05    1.19376E-03   -9.60472E-05
  1.00644E+00    7.95273E-03    1.13486E-01    4.55683E-03    3.36239E-05    1.32030E-03   -1.21206E-04
  1.00644E+00    8.60037E-03    1.22997E-01    5.24635E-03    4.07745E-05    1.45527E-03   -1.49290E-04
  1.00644E+00    9.29464E-03    1.33155E-01    6.01520E-03    4.94325E-05    1.59571E-03   -1.83133E-04
  1.00644E+00    1.00389E-02    1.43986E-01    6.88102E-03    6.01169E-05    1.74016E-03   -2.24693E-04
  1.00644E+00    1.08367E-02    1.55560E-01    7.81624E-03    7.20518E-05    1.89248E-03   -2.70859E-04
  1.00644E+00    1.16920E-02    1.67759E-01    8.85495E-03    8.73862E-05    2.04217E-03   -3.28803E-04
  1.00644E+00    1.26089E-02    1.80815E-01    9.96847E-03    1.04017E-04    2.20154E-03   -3.91471E-04
  1.00644E+00    1.35918E-02    1.94386E-01    1.11587E-02    1.25235E-04    2.35265E-03   -4.68036E-04
  1.00644E+00    1.46454E-02    2.08883E-01    1.24298E-02    1.48294E-04    2.51278E-03   -5.50797E-04
  1.00644E+00    1.57749E-02    2.23788E-01    1.37322E-02    1.76703E-04    2.66229E-03   -6.47229E-04
  1.00644E+00    1.69858E-02    2.39560E-01    1.50996E-02    2.08093E-04    2.81703E-03   -7.51824E-04
  1.00644E+00    1.82838E-02    2.55726E-01    1.64614E-02    2.45070E-04    2.96308E-03   -8.68162E-04
  1.00644E+00    1.96752E-02    2.72496E-01    1.78297E-02    2.86743E-04    3.10800E-03   -9.93469E-04
  1.00644E+00    2.11669E-02    2.89830E-01    1.91916E-02    3.33720E-04    3.25005E-03   -1.12843E-03
