%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%  X	: Streamwise coordinates
%  Y0	: Normal coordinates of the lower wall
%  Y1	: Normal coordinates of the upper wall 
%  Utau0: Friction velocity at the lower wall
%  Utau1: Friction velocity at the upper wall
%  Cp0	: Pressure coefficient at the lower wall
%  Cp1	: Pressure coefficient at the upper wall
%  Cf0	: Skin friction coefficient at the lower wall
%  Cf1	: Skin friction coefficient at the upper wall
%
%  Y1 =  2
%  Re =  7900
%  Uo =  max(U(x=0,y)) = 1.03367
%  Po =  P(x=12,y=1)
%  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
%  Cp = (P-Po)/(0.5*Uo^2)
%  Nx = 1536
%
% Date File Created: November 5, 2007
%
%         X           Y0           Utau0          Utau1           Cp0           Cp1             Cf0             Cf1
  1.25191E+00    3.63109E-02    4.76699E-02    6.18507E-02    2.92128E-01    1.65056E-02    4.25355E-03    7.16064E-03
  1.26009E+00    3.72737E-02    4.79020E-02    6.19769E-02    2.92361E-01    1.53684E-02    4.29507E-03    7.18990E-03
  1.26827E+00    3.82524E-02    4.81326E-02    6.21025E-02    2.92578E-01    1.42174E-02    4.33652E-03    7.21907E-03
  1.27646E+00    3.92470E-02    4.83613E-02    6.22402E-02    2.92779E-01    1.30532E-02    4.37783E-03    7.25114E-03
  1.28464E+00    4.02582E-02    4.85891E-02    6.23653E-02    2.92964E-01    1.18761E-02    4.41918E-03    7.28030E-03
  1.29282E+00    4.12860E-02    4.88162E-02    6.24900E-02    2.93134E-01    1.06857E-02    4.46058E-03    7.30945E-03
  1.30100E+00    4.23307E-02    4.90450E-02    6.26141E-02    2.93288E-01    9.48159E-03    4.50250E-03    7.33852E-03
  1.30919E+00    4.33927E-02    4.92790E-02    6.27500E-02    2.93428E-01    8.26360E-03    4.54556E-03    7.37040E-03
  1.31737E+00    4.44723E-02    4.95185E-02    6.28721E-02    2.93548E-01    7.03194E-03    4.58984E-03    7.39910E-03
  1.32555E+00    4.55699E-02    4.97613E-02    6.30059E-02    2.93649E-01    5.78731E-03    4.63498E-03    7.43063E-03
  1.33373E+00    4.66854E-02    5.00102E-02    6.31262E-02    2.93727E-01    4.53050E-03    4.68146E-03    7.45903E-03
  1.34192E+00    4.78196E-02    5.02653E-02    6.32459E-02    2.93784E-01    3.26197E-03    4.72933E-03    7.48736E-03
  1.35010E+00    4.89722E-02    5.05247E-02    6.33782E-02    2.93818E-01    1.98192E-03    4.77828E-03    7.51870E-03
  1.35828E+00    5.01429E-02    5.07872E-02    6.34971E-02    2.93829E-01    6.90323E-04    4.82805E-03    7.54695E-03
  1.36646E+00    5.13315E-02    5.10513E-02    6.36156E-02    2.93817E-01   -6.12877E-04    4.87840E-03    7.57515E-03
  1.37464E+00    5.25382E-02    5.13153E-02    6.37467E-02    2.93784E-01   -1.92770E-03    4.92899E-03    7.60639E-03
  1.38283E+00    5.37624E-02    5.15795E-02    6.38774E-02    2.93729E-01   -3.25410E-03    4.97987E-03    7.63761E-03
  1.39101E+00    5.50042E-02    5.18430E-02    6.39948E-02    2.93653E-01   -4.59217E-03    5.03087E-03    7.66572E-03
  1.39919E+00    5.62633E-02    5.21039E-02    6.41250E-02    2.93555E-01   -5.94216E-03    5.08165E-03    7.69694E-03
  1.40737E+00    5.75395E-02    5.23595E-02    6.42549E-02    2.93436E-01   -7.30427E-03    5.13162E-03    7.72815E-03
  1.41556E+00    5.88331E-02    5.26111E-02    6.43713E-02    2.93297E-01   -8.67859E-03    5.18105E-03    7.75618E-03
  1.42374E+00    6.01445E-02    5.28630E-02    6.44873E-02    2.93141E-01   -1.00651E-02    5.23079E-03    7.78416E-03
  1.43192E+00    6.14738E-02    5.31175E-02    6.46293E-02    2.92967E-01   -1.14637E-02    5.28128E-03    7.81849E-03
